TIME,FLIGHT,FROM,AIRLINE,AIRCRAFT,,STATUS
10:00 AM,DL1261,Miami (MIA),Delta Air Lines,B752 (N6706Q),,Landed 4:44 PM
10:00 AM,DL1879,San Juan (SJU),Delta Air Lines,B752 (N6713Y),,Landed 9:43 AM
10:00 AM,KG5870,Jackson (MKL),Denver Air Connection,E145 (N970DC),,Landed 9:56 AM
10:01 AM,DL1212,Kansas City (MCI),Delta Air Lines,B739 (N949DZ),,Landed 9:50 AM
10:02 AM,DL1258,Austin (AUS),Delta Air Lines,A321 (N337DN),,Landed 10:32 AM
10:02 AM,DL2161,Grand Rapids (GRR),Delta Air Lines,B739 (N861DN),,Landed 9:37 AM
10:02 AM,DL1901,Indianapolis (IND),Delta Air Lines,B739 (N951DX),,Landed 9:38 AM
10:04 AM,NK2344,Baltimore (BWI),Spirit Airlines,A21N (N730NK),,Landed 10:31 AM
10:05 AM,DL1395,Fort Myers (RSW),Delta Air Lines,B752 (N819DX),,Landed 10:01 AM
10:06 AM,DL1236,Milwaukee (MKE),Delta Air Lines,B752 (N670DN),,Landed 9:43 AM
10:09 AM,DL1180,Philadelphia (PHL),Delta Air Lines,A321 (N316DN),,Landed 10:46 AM
10:10 AM,DL1158,Oklahoma City (OKC),Delta Air Lines,A319 (N359NB),,Landed 9:41 AM
10:10 AM,DL3067,Pensacola (PNS),Delta Air Lines,B752 (N687DL),,Landed 9:52 AM
10:10 AM,WN365,Nashville (BNA),Southwest Airlines,B737 (N941WN),,Landed 9:44 AM
10:11 AM,DL1982,Jackson (JAN),Delta Air Lines,B712 (N995AT),,Landed 9:41 AM
10:12 AM,DL1157,Omaha (OMA),Delta Air Lines,A319 (N343NB),,Landed 10:02 AM
10:12 AM,DL1247,Chicago (ORD),Delta Air Lines,B739 (N926DZ),,Landed 10:01 AM
10:13 AM,DL1315,Houston (IAH),Delta Air Lines,A321 (N366DX),,Landed 9:56 AM
10:14 AM,DL1569,Bentonville (XNA),Delta Air Lines,B712 (N930AT),,Landed 9:48 AM
10:15 AM,DL893,Dallas (DFW),Delta Air Lines,A321 (N322DN),,Landed 9:52 AM
10:15 AM,DL3242,Raleigh-Durham (RDU),Delta Air Lines,B739 (N940DU),,Landed 9:55 AM
10:17 AM,AA1656,Chicago (ORD),American Airlines,A319 (N9017P),,Canceled
10:17 AM,DL2513,Dallas (DAL),Delta Air Lines,B712 (N929AT),,Landed 9:49 AM
10:18 AM,UA1663,Washington (IAD),United Airlines,B739 (N37434),,Landed 11:45 AM
10:19 AM,AA5228,Charlotte (CLT),American Eagle,CRJ9 (N575NN),,Landed 9:58 AM
10:20 AM,AA820,Dallas (DFW),American Airlines,B738 (N943AN),,Landed 9:53 AM
10:20 AM,DL2365,New York (EWR),Delta Air Lines,B739 (N850DN),,Landed 10:39 AM
10:20 AM,KE35,Seoul (ICN),Korean Air,B748 (HL7642),,Landed 10:07 AM
10:20 AM,WN1164,Houston (HOU),Southwest Airlines,B737 (N442WN),,Landed 10:09 AM
10:24 AM,AA5215,Philadelphia (PHL),American Eagle,CRJ9 (N609NN),,Landed 11:05 AM
10:26 AM,DL364,New York (LGA),Delta Air Lines,A321 (N114DN),,Landed 9:59 AM
10:27 AM,DL744,Tampa (TPA),Delta Air Lines,B752 (N6703D),,Landed 10:56 AM
10:33 AM,DL1505,Orlando (MCO),Delta Air Lines,B752 (N6702),,Landed 10:16 AM
10:33 AM,UA1962,Houston (IAH),United Airlines,A319 (N814UA),,Landed 10:15 AM
10:37 AM,DL1634,Nashville (BNA),Delta Air Lines,B712 (N894AT),,Landed 10:11 AM
10:38 AM,DL2141,Windsor Locks (BDL),Delta Air Lines,A321 (N104DN),,Landed 10:13 AM
10:40 AM,DL5153,Charleston (CHS),Delta Connection,CRJ9 (N602LR),,Landed 11:17 AM
10:40 AM,DL5309,Chattanooga (CHA),Delta Connection,CRJ7 (N331CA),,Landed 10:25 AM
10:40 AM,UA1975,Chicago (ORD),United Airlines,B738 (N76532),,Landed 10:29 AM
10:40 AM,WN3400,Denver (DEN),Southwest Airlines (Illinois One Livery),B738 (N8619F),,Landed 10:23 AM
